planet_name,host_name,disc_method,disc_year,pl_orbper_days,pl_rad_rearth,pl_mass_mearth,st_teff_k,st_rad_rsun,st_mass_msun,pl_mass_mjup,pl_rad_rjup,habitable_zone_flag,esi,has_mass,has_radius,has_stellar_data
AU Mic d,AU Mic,transit timing variations,2023,12.73596,1.02,1.053,3678.0,0.744,0.51,0.0033131127528096957,0.09099830493353556,inner,0.9599437894952606,True,True,True
BD+03 2562 b,BD+03 2562,radial velocity,2017,481.9,12.7,,4095.0,32.35,1.14,,1.1330181104469623,inner,,False,True,True
BD+05 4868 A b,BD+05 4868 A,transit,2025,1.271869,,6.2,4596.0,0.69,0.7,0.019507406521766493,,inner,,True,False,True
BD+14 4559 b,BD+14 4559,radial velocity,2009,268.94,13.8,,4864.0,0.86,0.49,,1.2311535373360694,outer,,False,True,True
BD+15 2375 b,BD+15 2375,radial velocity,2016,153.22,13.8,,4649.0,8.95,1.08,,1.2311535373360694,inner,,False,True,True
BD+15 2940 b,BD+15 2940,radial velocity,2013,137.48,13.7,,4796.0,14.7,1.1,,1.222232134891605,inner,,False,True,True
BD+20 2457 b,BD+20 2457,radial velocity,2009,379.63,12.1,,4137.0,49.0,2.8,,1.0794896957801767,inner,,False,True,True
BD+20 2457 c,BD+20 2457,radial velocity,2009,621.99,12.4,,4137.0,49.0,2.8,,1.1062539031135694,inner,,False,True,True
BD+20 274 b,BD+20 274,radial velocity,2012,578.2,13.0,,4296.0,17.3,0.8,,1.159782317780355,inner,,False,True,True
BD+20 594 b,BD+20 594,transit,2016,41.6855,2.57807,22.2481,5766.0,1.08,1.67,0.07000044048982469,0.22999999999999998,inner,0.0,True,True,True
BD+45 564 b,BD+45 564,radial velocity,2021,307.88,13.6,,5004.0,0.813064,0.81,,1.2133107324471406,outer,,False,True,True
BD+48 738 b,BD+48 738,radial velocity,2011,392.6,13.9,,4414.0,11.0,0.74,,1.2400749397805335,inner,,False,True,True
BD+48 740 b,BD+48 740,radial velocity,2018,733.0,13.5,,4534.0,10.33,1.09,,1.2043893300026765,inner,,False,True,True
BD+49 828 b,BD+49 828,radial velocity,2015,2590.0,13.5,,4943.0,7.6,1.52,,1.2043893300026765,inner,,False,True,True
BD+55 362 b,BD+55 362,radial velocity,2021,265.59,14.0,,5012.0,0.896193,0.909,,1.248996342224998,habitable,,False,True,True
BD+60 1417 b,BD+60 1417,imaging,2021,,14.68376472,4767.426105,4993.0,0.797,1.0,15.000019208502712,1.309997744669462,unknown,0.0,True,True,True
BD+63 1405 b,BD+63 1405,radial velocity,2021,1198.48,12.4,3305.4154328,5000.0,0.804724,0.816,10.400013317895214,1.1062539031135694,outer,0.0,True,True,True
BD-06 1339 b,BD-06 1339,radial velocity,2013,3.8728,2.85,,4324.0,0.686355,0.7,,0.2542599696672317,inner,,False,True,True
BD-06 1339 c,BD-06 1339,radial velocity,2013,125.94,8.38,,4324.0,0.686355,0.7,,0.7476135248461059,habitable,,False,True,True
BD-08 2823 b,BD-08 2823,radial velocity,2009,5.6,3.61,,4816.0,0.71,0.5,,0.32206262824516013,inner,,False,True,True
BD-08 2823 c,BD-08 2823,radial velocity,2009,237.6,12.5,,4746.0,0.71,0.74,,1.1151753055580338,outer,,False,True,True
BD-10 3166 b,BD-10 3166,radial velocity,2000,3.48777,14.1,,5393.0,0.91,1.47,,1.257917744669462,inner,,False,True,True
BD-11 4672 b,BD-11 4672,radial velocity,2014,1634.0,14.1,,4550.0,0.639,0.651,,1.257917744669462,outer,,False,True,True
BD-11 4672 c,BD-11 4672,radial velocity,2020,74.2,4.04,,4550.0,0.639,0.651,,0.36042465875635654,habitable,,False,True,True
BD-13 2130 b,BD-13 2130,radial velocity,2007,714.29999,12.5,,4545.0,19.17,2.12,,1.1151753055580338,inner,,False,True,True
BD-14 3065 b,BD-14 3065 A,transit,2024,4.2889731,21.59,3932.0,6935.0,2.35,1.41,12.371471361868684,1.926130787759836,inner,0.0,True,True,True
BD-17 63 b,BD-17 63,radial velocity,2008,655.57,12.8,1639.99458012,4714.0,0.74,0.741,5.160006607724933,1.1419395128914267,outer,0.0,True,True,True
